point,area,type,months,total1,total2,monthly1,monthly2,total3
世平興業股份有限公司附設臺北市私立員工子女幼兒園,南港區,私立,12,231600,12000,19300,1000,231600
中央研究院附設臺北市私立幼兒園,南港區,私立,12,91620,0,7635,0,91620
北部台灣基督長老教會艋舺教會附設臺北市私立愛心幼兒園,萬華區,準公共化,12,154440,28800,12870,2400,154440
國立政治大學附設實驗國民小學附設幼兒園,文山區,公立,9,43176,24240,4797,2693,43176
國立臺北教育大學附設實驗國民小學附設幼兒園,大安區,公立,9,43176,24240,4797,2693,43176
國立臺灣大學醫學院附設醫院附設臺北市私立員工子女幼兒園,中正區,私立,12,117640,30400,9803,2533,117640
國防醫學院附設臺北市私立愛德幼兒園,中正區,準公共化,12,173196,0,14433,0,173196
實踐大學附設臺北市私立幼兒園,中山區,私立,10,112500,0,11250,0,112500
康軒文教事業股份有限公司附設臺北市私立員工子女幼兒園,內湖區,私立,10,338440,0,33844,0,338440
恕德學校財團法人附設臺北市私立恕德幼兒園,內湖區,私立,12,237160,33600,19763,2800,237160
新民學校財團法人臺北市私立新民國民小學附設臺北市私立幼兒園,大安區,私立,12,218916,38640,18243,3220,218916
有限責任臺北市立五常國民中學員生消費合作社附設臺北市私立員工子女幼兒園,中山區,準公共化,12,140400,0,11700,0,140400
有限責任臺北市立金華國民中學員生消費合作社附設臺北市私立員工子女幼兒園,大安區,準公共化,12,124200,0,10350,0,124200
法務部附設臺北市私立員工子女幼兒園,中正區,私立,10,129000,10000,12900,1000,129000
私立再興高級中學附設臺北市幼兒園,文山區,私立,9,107504,0,11945,0,107504
育達學校財團法人臺北市私立普林思頓高級中等學校附設臺北市私立點點幼兒園,松山區,私立,10,155000,0,15500,0,155000
育達學校財團法人臺北市私立育達高級中等學校附設臺北市私立點點幼兒園,松山區,私立,10,155000,0,15500,0,155000
臺北市中山區中山國民小學附設幼兒園,中山區,公立,9,43176,24240,4797,2693,43176
臺北市中山區中正國民小學附設幼兒園,中山區,公立,9,43176,24240,4797,2693,43176
臺北市中山區五常國民小學附設幼兒園,中山區,公立,9,43176,18240,4797,2027,43176
臺北市中山區吉林國民小學附設幼兒園,中山區,公立,9,43176,24240,4797,2693,43176
臺北市中山區大佳國民小學附設幼兒園,中山區,公立,9,43176,16240,4797,1804,43176
臺北市中山區大直國民小學附設幼兒園,中山區,公立,9,43176,19096,4797,2122,43176
臺北市中山區懷生國民小學附設幼兒園,中山區,公立,9,43176,24240,4797,2693,43176
臺北市中山區永安國民小學附設幼兒園,中山區,公立,9,43176,20240,4797,2249,43176
臺北市中山區濱江國民小學附設幼兒園,中山區,公立,9,43176,20240,4797,2249,43176
臺北市中山區長安國民小學附設幼兒園,中山區,公立,9,43176,18188,4797,2021,43176
臺北市中山區長春國民小學附設幼兒園,中山區,公立,9,43176,14836,4797,1648,43176
臺北市中正區南門國民小學附設幼兒園,中正區,公立,9,43176,24240,4797,2693,43176
臺北市中正區國語實驗國民小學附設幼兒園,中正區,公立,9,43176,21240,4797,2360,43176
