point,area,type,months,total1,total2,monthly1,monthly2,total3
中道學校財團法人宜蘭縣中道高級中學附設宜蘭縣私立中道幼兒園,壯圍鄉,私立,12,171000,0,14250,0,171000
國立頭城高級家事商業職業學校附設宜蘭縣私立幼兒園,頭城鎮,準公共化,12,110892,11400,9241,950,110892
宜蘭縣三星鄉三星國民小學附設幼兒園,三星鄉,公立,9,24896,200,2766,22,24896
宜蘭縣三星鄉大洲國民小學附設幼兒園,三星鄉,公立,9,24896,0,2766,0,24896
宜蘭縣三星鄉立幼兒園,三星鄉,公立,12,39790,0,3316,0,39790
宜蘭縣三星鄉立幼兒園拱照分班,三星鄉,公立,12,39790,0,3316,0,39790
宜蘭縣三星鄉萬富國民小學附設幼兒園,三星鄉,公立,9,24896,0,2766,0,24896
宜蘭縣五結鄉中興國民小學附設幼兒園,五結鄉,公立,9,24896,200,2766,22,24896
宜蘭縣五結鄉五結國民小學附設幼兒園,五結鄉,公立,9,24896,0,2766,0,24896
宜蘭縣五結鄉學進國民小學附設幼兒園,五結鄉,公立,9,24896,0,2766,0,24896
宜蘭縣五結鄉立幼兒園,五結鄉,公立,11,40140,5500,3649,500,40140
宜蘭縣五結鄉立幼兒園利澤分班,五結鄉,公立,11,40140,5500,3649,500,40140
宜蘭縣冬山鄉冬山國民小學附設幼兒園,冬山鄉,公立,9,24896,0,2766,0,24896
宜蘭縣冬山鄉廣興國民小學附設幼兒園,冬山鄉,公立,9,24896,0,2766,0,24896
宜蘭縣冬山鄉東興國民小學附設幼兒園,冬山鄉,公立,9,24896,200,2766,22,24896
宜蘭縣冬山鄉武淵國民小學附設幼兒園,冬山鄉,公立,9,24896,0,2766,0,24896
宜蘭縣冬山鄉立幼兒園,冬山鄉,公立,11,31100,3300,2827,300,31100
宜蘭縣冬山鄉立幼兒園中山分班,冬山鄉,公立,11,31100,0,2827,0,31100
宜蘭縣冬山鄉順安國民小學附設幼兒園,冬山鄉,公立,9,24896,0,2766,0,24896
宜蘭縣南澳鄉南澳國民小學附設幼兒園,南澳鄉,公立,9,24896,0,2766,0,24896
宜蘭縣南澳鄉東澳國民小學附設幼兒園,南澳鄉,公立,9,24900,0,2767,0,24900
宜蘭縣南澳鄉武塔國民小學附設幼兒園,南澳鄉,公立,9,24896,0,2766,0,24896
宜蘭縣南澳鄉澳花國民小學附設幼兒園,南澳鄉,公立,9,24896,200,2766,22,24896
宜蘭縣南澳鄉碧候國民小學附設幼兒園,南澳鄉,公立,9,24896,0,2766,0,24896
宜蘭縣南澳鄉立幼兒園,南澳鄉,公立,9,36500,0,4056,0,36500
宜蘭縣南澳鄉立幼兒園武塔分班,南澳鄉,公立,9,36500,0,4056,0,36500
宜蘭縣南澳鄉立幼兒園碧候分班,南澳鄉,公立,9,36500,0,4056,0,36500
宜蘭縣南澳鄉立幼兒園金洋分班,南澳鄉,公立,9,36500,0,4056,0,36500
宜蘭縣南澳鄉金岳國民小學附設幼兒園,南澳鄉,公立,9,24896,0,2766,0,24896
宜蘭縣南澳鄉金洋國民小學附設幼兒園,南澳鄉,公立,9,24896,0,2766,0,24896
宜蘭縣員山鄉同樂國民小學附設幼兒園,員山鄉,公立,9,24896,200,2766,22,24896
宜蘭縣員山鄉員山國民小學附設幼兒園,員山鄉,公立,9,24896,200,2766,22,24896
宜蘭縣員山鄉深溝國民小學附設幼兒園,員山鄉,公立,9,24896,200,2766,22,24896
宜蘭縣員山鄉立幼兒園,員山鄉,公立,11,38500,5000,3500,455,38500
宜蘭縣壯圍鄉古亭國民小學附設幼兒園,壯圍鄉,公立,9,24896,0,2766,0,24896
宜蘭縣壯圍鄉新南國民小學附設幼兒園,壯圍鄉,公立,9,24896,0,2766,0,24896
宜蘭縣壯圍鄉立幼兒園,壯圍鄉,公立,11,31300,0,2845,0,31300
宜蘭縣大同鄉南山國民小學附設幼兒園,大同鄉,公立,9,24896,0,2766,0,24896
宜蘭縣大同鄉四季國民小學附設幼兒園,大同鄉,公立,9,24896,0,2766,0,24896
宜蘭縣大同鄉四季國民小學附設幼兒園英士分班,大同鄉,公立,9,24896,0,2766,0,24896
宜蘭縣大同鄉大同國民小學附設幼兒園,大同鄉,公立,9,24896,0,2766,0,24896
宜蘭縣大同鄉寒溪國民小學附設幼兒園,大同鄉,公立,9,24896,0,2766,0,24896
宜蘭縣大同鄉立幼兒園,大同鄉,公立,10,30000,0,3000,0,30000
宜蘭縣大同鄉立幼兒園四季分班,大同鄉,公立,10,30000,0,3000,0,30000
宜蘭縣大同鄉立幼兒園松羅分班,大同鄉,公立,10,30000,0,3000,0,30000
宜蘭縣大同鄉立幼兒園樂水分班,大同鄉,公立,10,30000,0,3000,0,30000
宜蘭縣宜蘭市中山國民小學附設幼兒園,宜蘭市,公立,9,24896,0,2766,0,24896
宜蘭縣宜蘭市凱旋國民小學附設幼兒園,宜蘭市,公立,9,24896,200,2766,22,24896
