point,area,type,months,total1,total2,monthly1,monthly2
中華汽車工業股份有限公司職工福利委員會附設桃園市私立中華汽車幼兒園,楊梅區,私立,12,195960,39600,16330,3300
國家中山科學研究院附設桃園市私立逸光幼兒園,龍潭區,私立,8,145896,19800,18237,2475
國立中央大學附設桃園市私立幼兒園,中壢區,準公共化,10,160008,0,16001,0
奇異園股份有限公司附設桃園市私立奇異鳥科園區幼兒園,龜山區,私立,12,315000,144000,26250,12000
日月光集團聯合職工福利委員會附設桃園市私立同心園幼兒園,中壢區,私立,12,169840,0,14153,0
景碩科技股份有限公司職工福利委員會附設桃園市私立景碩幼兒園,新屋區,私立,12,180000,7200,15000,600
桃園市中壢區中壢國民小學附設幼兒園,中壢區,公立,8,72092,200,9012,25
桃園市中壢區中正國民小學附設幼兒園,中壢區,公立,8,72092,21000,9012,2625
桃園市中壢區信義國民小學附設幼兒園,中壢區,公立,8,72092,10256,9012,1282
桃園市中壢區內壢國民小學附設幼兒園,中壢區,公立,8,71912,200,8989,25
桃園市中壢區內定國民小學附設幼兒園,中壢區,公立,8,72092,200,9012,25
桃園市中壢區山東國民小學附設幼兒園,中壢區,公立,8,72092,0,9012,0
桃園市中壢區忠福國民小學附設幼兒園,中壢區,公立,8,72092,0,9012,0
桃園市中壢區新明國民小學附設幼兒園,中壢區,公立,8,72092,0,9012,0
桃園市中壢區新街國民小學附設幼兒園,中壢區,公立,8,72092,0,9012,0
桃園市中壢區普仁國民小學附設幼兒園,中壢區,公立,8,72092,200,9012,25
桃園市中壢區自立國民小學附設幼兒園,中壢區,公立,8,72092,200,9012,25
桃園市中壢區興仁國民小學附設幼兒園,中壢區,公立,8,72092,200,9012,25
桃園市中壢區興國國民小學附設幼兒園,中壢區,公立,8,72092,200,9012,25
桃園市中壢區華勛國民小學附設幼兒園,中壢區,公立,8,72092,16378,9012,2047
桃園市中壢區龍岡國民小學附設幼兒園,中壢區,公立,8,72092,0,9012,0
桃園市中路非營利幼兒園(委託社團法人臺灣優質兒童教育發展協會辦理),桃園區,非營利,12,112056,0,9338,0
桃園市光峰非營利幼兒園（委託社團法人新北市巧湖溫馨關懷發展協會辦理）,龜山區,非營利,12,97596,0,8133,0
桃園市光峰非營利幼兒園（委託社團法人新北市巧湖溫馨關懷發展協會辦理）幸福分班,龜山區,非營利,12,97596,0,8133,0
桃園市內壢非營利幼兒園(委託財團法人三之三生命教育基金會辦理),中壢區,非營利,12,80868,0,6739,0
桃園市八德區八德國民小學附設幼兒園,八德區,公立,8,72092,0,9012,0
桃園市八德區大安國民小學附設幼兒園,八德區,公立,8,72092,14750,9012,1844
桃園市八德區大成國民小學附設幼兒園,八德區,公立,8,72092,0,9012,0
桃園市八德區瑞豐國民小學附設幼兒園,八德區,公立,8,72092,0,9012,0
桃園市八德區茄苳國民小學附設幼兒園,八德區,公立,8,72092,0,9012,0
桃園市八德區霄裡國民小學附設幼兒園,八德區,公立,8,67692,200,8462,25
桃園市六二非營利幼兒園(委託社團法人臺灣亞洲學前教育培訓協會辦理),中壢區,非營利,12,111132,0,9261,0
桃園市凌雲非營利幼兒園(委託社團法人桃園市全能多元文教發展協會辦理),龍潭區,非營利,12,121008,0,10084,0
桃園市北青非營利幼兒園(委託財團法人三之三生命教育基金會辦理),八德區,非營利,12,111060,0,9255,0
桃園市同德非營利幼兒園(委託社團法人桃園市全能多元文教發展協會辦理),桃園區,非營利,12,116484,0,9707,0
桃園市同德非營利幼兒園(委託社團法人桃園市全能多元文教發展協會辦理)莊敬分班,桃園區,非營利,12,116484,0,9707,0
桃園市國強非營利幼兒園(委託財團法人台灣兒童暨家庭扶助基金會辦理),桃園區,非營利,12,109512,0,9126,0
