point,area,type,months,total1,total2,monthly1,monthly2,total3
台灣基督長老教會朴子教會附設嘉義縣私立東明幼兒園,朴子市,準公共化,12,100308,14400,8359,1200,100308
嘉義縣中埔鄉中埔國民小學附設幼兒園,中埔鄉,公立,9,33165,0,3685,0,33165
嘉義縣中埔鄉中山國民小學附設幼兒園,中埔鄉,公立,9,33165,0,3685,0,33165
嘉義縣中埔鄉同仁國民小學附設幼兒園,中埔鄉,公立,9,33165,200,3685,22,33165
嘉義縣中埔鄉社口國民小學附設幼兒園,中埔鄉,公立,9,30915,0,3435,0,30915
嘉義縣中埔鄉立中埔幼兒園,中埔鄉,公立,11,42200,0,3836,0,42200
嘉義縣中埔鄉立中埔幼兒園三和分班,中埔鄉,公立,11,42200,0,3836,0,42200
嘉義縣中埔鄉立中埔幼兒園中埔分班,中埔鄉,公立,11,42200,0,3836,0,42200
嘉義縣中埔鄉頂六國民小學附設幼兒園,中埔鄉,公立,9,31005,0,3445,0,31005
嘉義縣六腳鄉六腳國民小學附設幼兒園,六腳鄉,公立,9,30915,0,3435,0,30915
嘉義縣六腳鄉北美國民小學附設幼兒園,六腳鄉,公立,9,33165,200,3685,22,33165
嘉義縣六腳鄉灣內國民小學附設幼兒園,六腳鄉,公立,9,33165,200,3685,22,33165
嘉義縣六腳鄉立六腳幼兒園,六腳鄉,公立,11,37570,0,3415,0,37570
嘉義縣大埔美非營利幼兒園(委託財團法人南華大學辦理),大林鎮,非營利,12,0,0,9626,0,115512
嘉義縣大埔美非營利幼兒園(委託財團法人稻江科技暨管理學院設立之稻江科技暨管理學院辦理),大林鎮,非營利,12,0,0,9626,0,115512
嘉義縣大林鎮立大林幼兒園,大林鎮,公立,11,42200,0,3836,0,42200
嘉義縣太保市南新國民小學附設幼兒園,太保市,公立,9,33885,0,3765,0,33885
嘉義縣太保市太保國民小學附設幼兒園,太保市,公立,9,33795,0,3755,0,33795
嘉義縣太保市新埤國民小學附設幼兒園,太保市,公立,9,31815,0,3535,0,31815
嘉義縣布袋鎮好美國民小學附設幼兒園,布袋鎮,公立,9,34065,0,3785,0,34065
嘉義縣布袋鎮布新國民小學附設幼兒園,布袋鎮,公立,9,33164,0,3685,0,33164
嘉義縣布袋鎮布袋國民小學附設幼兒園,布袋鎮,公立,9,31814,0,3535,0,31814
嘉義縣布袋鎮新塭國民小學附設幼兒園,布袋鎮,公立,9,34065,200,3785,22,34065
嘉義縣布袋鎮新岑國民小學附設幼兒園,布袋鎮,公立,9,32256,0,3584,0,32256
嘉義縣布袋鎮景山國民小學附設幼兒園,布袋鎮,公立,9,30465,0,3385,0,30465
嘉義縣布袋鎮永安國民小學附設幼兒園,布袋鎮,公立,9,34821,0,3869,0,34821
嘉義縣布袋鎮立布袋幼兒園,布袋鎮,公立,11,32500,0,2955,0,32500
嘉義縣布袋鎮貴林國民小學附設幼兒園,布袋鎮,公立,9,34821,200,3869,22,34821
嘉義縣布袋鎮過溝國民小學附設幼兒園,布袋鎮,公立,9,30015,200,3335,22,30015
嘉義縣新港鄉復興國民小學附設幼兒園,新港鄉,公立,9,35271,200,3919,22,35271
嘉義縣新港鄉新港國民小學附設幼兒園,新港鄉,公立,9,35271,200,3919,22,35271
嘉義縣新港鄉月眉國民小學附設幼兒園,新港鄉,公立,9,35270,0,3919,0,35270
嘉義縣新港鄉立新港幼兒園,新港鄉,公立,11,37800,0,3436,0,37800
嘉義縣朴子市大同國民小學附設幼兒園,朴子市,公立,9,33615,0,3735,0,33615
嘉義縣朴子市大鄉國民小學附設幼兒園,朴子市,公立,9,34821,200,3869,22,34821
嘉義縣朴子市朴子國民小學附設幼兒園,朴子市,公立,9,33165,0,3685,0,33165
嘉義縣朴子市松梅國民小學附設幼兒園,朴子市,公立,9,34461,0,3829,0,34461
嘉義縣朴子市祥和國民小學附設幼兒園,朴子市,公立,9,34785,0,3865,0,34785
嘉義縣朴子市立朴子幼兒園,朴子市,公立,11,35686,0,3244,0,35686
嘉義縣朴子市立朴子幼兒園松梅分班,朴子市,公立,11,35686,0,3244,0,35686
嘉義縣朴子市雙溪國民小學附設幼兒園,朴子市,公立,9,34065,0,3785,0,34065
嘉義縣東石鄉三江國民小學附設幼兒園,東石鄉,公立,9,34065,0,3785,0,34065
嘉義縣東石鄉下楫國民小學附設幼兒園,東石鄉,公立,9,34821,0,3869,0,34821
嘉義縣東石鄉塭港國民小學附設幼兒園,東石鄉,公立,9,34821,0,3869,0,34821
嘉義縣東石鄉東石國民小學附設幼兒園,東石鄉,公立,9,33164,0,3685,0,33164
